text@vrsh1992f	@vrsh1992f	232.613	240.362	и вот у нас был один ролик который мы записывали еще до пилота где мы в полях вот это вот все там еще Горбачева / с такой вот прической //
text@vrsh1992f	@vrsh1992f	241.002	241.753	да да да да да //
text@vrsh1992f	@vrsh1992f	241.883	246.879	и тогда мы первый раз встретились все вчетвером // все очень сильно переживали //
text@vrsh1992f	@vrsh1992f	248.542	249.694	а это мы снимали просто...
text@vrsh1992f	@vrsh1992f	250.508	253.016	просто... просто муд видео какое-то //
text@vrsh1992f	@vrsh1992f	253.076	257.974	просто вот какая-то / небольшая / затравка типо что примерно будет //
text@vrsh1992f	@vrsh1992f	258.262	264.761	я знала / до этого / Горбачеву / мы лет восемь наверное уже дружим //
text@vrsh1992f	@vrsh1992f	265.022	272.678	Иру Носову знала / только заочно / смотрела ее видосы в инстаграме как они с Антоном Коломеецом / сходят с ума 
text@vrsh1992f	@vrsh1992f	272.779	287.0	Алену начала примерно в этот же период / видеть очень часто в инстаграме у друзей кто делает какие-то модельные съемки / я видела ее / просто я не понимала как возможно жить / этой инопланетянке / на планете Земля //
text@vrsh1992f	@vrsh1992f	287.084	290.176	и мы встретились и сняли этот ролик //
text@vrsh1992f	@vrsh1992f	290.176	298.211	и в тот момент / когда тебе нужно / передать какую-то вот эту вот сестринскую любовь // это все проис... происходило //
text@vrsh1992f	@vrsh1992f	299.481	316.966	нет то есть настолько / настолько мы нравимся друг другу настолько мы все горим за эту идею настолько мы / доверяем Эдику / в его вот конкретном выборе этих четырех актрис что / мы просто без / каких-то но / без каких-то там предъяв идем в эту историю с головой //
text@vrsh1992f	@vrsh1992f	317.491	326.728	и действительно сейчас уже все там / говорят про то что вот / четыре актрисы / жили в одном вагончике это правда / тупо потому что //
text@vrsh1992f	@vrsh1992f	328.393	333.082	нет была была по-моему у нас там было два вагончика / типо две в одной и две в одной //
text@vrsh1992f	@vrsh1992f	333.274	342.644	но тут собрались / ребята // которые / топят за эту историю и ты понимаешь что / это не // 
text@vrsh1992f	@vrsh1992f	342.644	352.525	опять может быть мне повезло и я никогда не присутствовала / на таких съемках когда / человек вот так вот с листом только входит в кадр убирает и / начинает играть то есть без какого-либо//
text@vrsh1992f	@vrsh1992f	352.525	359.016	 но нам же нужно было вот / трогать друг друга нам нужно было // да даже не нужно мы хотели этого  
text@vrsh1992f	@vrsh1992f	359.033	374.271	мы хотели услышать все истории про / ириных друзей из Северского услышать про историю Алены как она уехала / из Перми / послушать Горбачеву как там вообще все это / ну она же / там креативная ну в общем  все вот это вот все проиходит   //
text@vrsh1992f	@vrsh1992f	374.372	381.406	и конечно эээ были все вчетвером и к нам приходил / в вагончик и сам Эдик и все оператор  и //
text@vrsh1992f	@vrsh1992f	382.135	410.329	мы кор... Горбачева кормила всех она покупала утром она шла / там не знаю в / на рынок ближайший он открывался по-моему там в шесть утра / она покупала / там вот столько малины / огромные куски / эээ сыра лаваша зелени  помидоров просто вот так вот приносила на / эээ на буфет / и все просто Ира спасибо большое но это было невроятно вкусно вот просто / сколько мы лаваша съели с сыром это просто //
words@aba1986m	@aba1986m	0.038	0.37	как
words@aba1986m	@aba1986m	0.37	0.641	вообще
words@aba1986m	@aba1986m	0.641	1.305	работалось
words@aba1986m	@aba1986m	1.305	1.411	?
words@aba1986m	@aba1986m	1.411	1.511	у
words@aba1986m	@aba1986m	1.511	1.599	вас
words@aba1986m	@aba1986m	1.599	1.682	же
words@aba1986m	@aba1986m	1.682	2.199	получается
words@aba1986m	@aba1986m	2.199	2.576	съемки
words@aba1986m	@aba1986m	2.576	3.394	проходили
words@aba1986m	@aba1986m	3.394	3.579	/
words@aba1986m	@aba1986m	3.579	3.764	/
words@aba1986m	@aba1986m	3.764	4.335	ааа
words@aba1986m	@aba1986m	4.335	4.452	в
words@aba1986m	@aba1986m	4.452	5.747	кабрадино-балкарии
words@aba1986m	@aba1986m	5.747	5.979	/
words@aba1986m	@aba1986m	5.979	6.211	/
words@aba1986m	@aba1986m	6.211	6.694	поселок
words@aba1986m	@aba1986m	6.694	6.876	или
words@aba1986m	@aba1986m	6.876	7.029	это
words@aba1986m	@aba1986m	7.029	7.247	город
words@aba1986m	@aba1986m	7.247	7.429	как
words@aba1986m	@aba1986m	7.429	7.823	правильно
words@aba1986m	@aba1986m	7.823	7.882	?
words@aba1986m	@aba1986m	8.582	8.87	город
words@aba1986m	@aba1986m	8.87	9.435	прохладный
words@aba1986m	@aba1986m	9.435	9.741	да
words@aba1986m	@aba1986m	9.741	9.858	/
words@aba1986m	@aba1986m	9.858	10.358	и
words@aba1986m	@aba1986m	10.358	10.735	#покашливает#
words@aba1986m	@aba1986m	10.735	11.07	помимо
words@aba1986m	@aba1986m	11.07	11.217	того
words@aba1986m	@aba1986m	11.217	11.558	что
words@aba1986m	@aba1986m	11.558	11.814	/
words@aba1986m	@aba1986m	11.814	12.07	/
words@aba1986m	@aba1986m	12.07	12.297	опять
words@aba1986m	@aba1986m	12.297	12.441	же
words@aba1986m	@aba1986m	12.441	12.599	это
words@aba1986m	@aba1986m	12.599	12.882	твоя
words@aba1986m	@aba1986m	12.882	13.188	первая
words@aba1986m	@aba1986m	13.188	13.591	большая
words@aba1986m	@aba1986m	13.591	13.799	роль
words@aba1986m	@aba1986m	13.799	13.888	/
words@aba1986m	@aba1986m	13.888	14.17	плюс
words@aba1986m	@aba1986m	14.17	14.423	это
words@aba1986m	@aba1986m	14.423	14.858	эээ
words@aba1986m	@aba1986m	14.858	15.539	выезды
words@aba1986m	@aba1986m	15.539	15.574	то
words@aba1986m	@aba1986m	15.574	15.629	есть
words@aba1986m	@aba1986m	15.629	16.098	соответственно
words@aba1986m	@aba1986m	16.098	16.2	ты
words@aba1986m	@aba1986m	16.2	16.664	оставляешь
words@aba1986m	@aba1986m	16.664	16.771	в
words@aba1986m	@aba1986m	16.771	17.245	Москве
words@aba1986m	@aba1986m	17.245	17.635	иии
words@aba1986m	@aba1986m	17.635	17.864	/
words@aba1986m	@aba1986m	17.864	18.487	сына
words@aba1986m	@aba1986m	18.487	18.615	и
words@aba1986m	@aba1986m	18.615	18.962	мужа
words@aba1986m	@aba1986m	18.962	19.287	насколько
words@aba1986m	@aba1986m	19.287	19.722	тяжело
words@aba1986m	@aba1986m	19.722	20.089	было
words@aba1986m	@aba1986m	20.089	20.157	?
words@aba1986m	@aba1986m	20.157	20.266	я
words@aba1986m	@aba1986m	20.266	20.422	знаю
words@aba1986m	@aba1986m	20.422	20.595	что
words@aba1986m	@aba1986m	20.595	20.678	ты
words@aba1986m	@aba1986m	20.678	21.055	моталась
words@aba1986m	@aba1986m	21.055	21.508	туда-сюда
words@aba1986m	@aba1986m	21.508	21.602	потому
words@aba1986m	@aba1986m	21.602	21.726	что
words@aba1986m	@aba1986m	21.726	21.861	ты
words@aba1986m	@aba1986m	21.861	22.259	параллельно
words@aba1986m	@aba1986m	22.259	22.484	играла
words@aba1986m	@aba1986m	22.484	22.55	в
words@aba1986m	@aba1986m	22.55	22.916	театре
words@aba1986m	@aba1986m	22.916	23.411	но
words@aba1986m	@aba1986m	23.411	23.705	/
words@aba1986m	@aba1986m	23.705	23.813	все
words@aba1986m	@aba1986m	23.813	24.038	равно
words@aba1986m	@aba1986m	24.038	24.235	как
words@aba1986m	@aba1986m	24.235	24.688	получалось
words@aba1986m	@aba1986m	24.688	24.833	все
words@aba1986m	@aba1986m	24.833	25.1	это
words@aba1986m	@aba1986m	25.1	25.169	?
words@aba1986m	@aba1986m	67.087	67.368	этот
words@aba1986m	@aba1986m	67.368	67.653	качок
words@aba1986m	@aba1986m	67.653	67.877	головы
words@aba1986m	@aba1986m	67.877	67.991	как
words@aba1986m	@aba1986m	67.991	68.075	будто
words@aba1986m	@aba1986m	68.075	68.157	я
words@aba1986m	@aba1986m	68.157	68.445	понимаю
words@aba1986m	@aba1986m	68.445	68.481	о
words@aba1986m	@aba1986m	68.481	68.648	чем
words@aba1986m	@aba1986m	68.648	68.838	речь
words@aba1986m	@aba1986m	68.838	69.0	вообще
words@aba1986m	@aba1986m	69.0	69.156	/
words@aba1986m	@aba1986m	69.156	69.313	/
words@aba1986m	@aba1986m	83.008	83.488	либо
words@aba1986m	@aba1986m	83.488	83.96	спектакля
words@aba1986m	@aba1986m	83.96	84.199	/
words@aba1986m	@aba1986m	84.199	84.374	/
words@aba1986m	@aba1986m	105.414	106.096	получилось
words@aba1986m	@aba1986m	106.096	106.202	в
words@aba1986m	@aba1986m	106.202	106.5	общем
words@aba1986m	@aba1986m	106.5	106.588	/
words@aba1986m	@aba1986m	106.588	106.782	/
words@aba1986m	@aba1986m	128.791	129.039	как
words@aba1986m	@aba1986m	129.039	129.284	вообще
words@aba1986m	@aba1986m	129.284	129.693	проходили
words@aba1986m	@aba1986m	129.693	130.245	съемки
words@aba1986m	@aba1986m	130.245	130.596	просто
words@aba1986m	@aba1986m	130.596	130.913	эээ
words@aba1986m	@aba1986m	130.913	131.509	/
words@aba1986m	@aba1986m	131.509	131.712	ну
words@aba1986m	@aba1986m	131.712	131.851	я
words@aba1986m	@aba1986m	131.851	132.217	понимаю
words@aba1986m	@aba1986m	132.217	132.46	что
words@aba1986m	@aba1986m	132.46	132.685	там
words@aba1986m	@aba1986m	132.685	132.818	вы
words@aba1986m	@aba1986m	132.818	133.229	приезжаете
words@aba1986m	@aba1986m	133.229	133.346	на
words@aba1986m	@aba1986m	133.346	133.934	локацию
words@aba1986m	@aba1986m	133.934	134.09	у
words@aba1986m	@aba1986m	134.09	134.205	вас
words@aba1986m	@aba1986m	134.205	134.456	есть
words@aba1986m	@aba1986m	134.456	134.752	график
words@aba1986m	@aba1986m	134.752	134.952	там
words@aba1986m	@aba1986m	134.952	135.265	сегодня
words@aba1986m	@aba1986m	135.265	135.486	мы
words@aba1986m	@aba1986m	135.486	135.754	снимаем
words@aba1986m	@aba1986m	135.754	135.979	это
words@aba1986m	@aba1986m	135.979	136.134	это
words@aba1986m	@aba1986m	136.134	136.222	и
words@aba1986m	@aba1986m	136.222	136.557	это
words@aba1986m	@aba1986m	136.557	136.921	/
words@aba1986m	@aba1986m	136.921	137.029	не
words@aba1986m	@aba1986m	137.029	137.286	всегда
words@aba1986m	@aba1986m	137.286	137.572	сцены
words@aba1986m	@aba1986m	137.572	138.071	снимаются
words@aba1986m	@aba1986m	138.071	138.196	по
words@aba1986m	@aba1986m	138.196	138.702	порядку
words@aba1986m	@aba1986m	138.702	138.942	/
words@aba1986m	@aba1986m	138.942	139.065	/
words@aba1986m	@aba1986m	139.14	139.344	ааа
words@aba1986m	@aba1986m	139.344	139.548	/
words@aba1986m	@aba1986m	139.548	139.729	у
words@aba1986m	@aba1986m	139.729	140.022	вас
words@aba1986m	@aba1986m	140.022	140.166	с
words@aba1986m	@aba1986m	140.166	140.789	девочками
words@aba1986m	@aba1986m	140.789	140.921	ну
words@aba1986m	@aba1986m	140.921	141.026	вот
words@aba1986m	@aba1986m	141.026	141.141	со
words@aba1986m	@aba1986m	141.141	141.562	стороны
words@aba1986m	@aba1986m	141.562	141.749	да
words@aba1986m	@aba1986m	141.749	141.888	там
words@aba1986m	@aba1986m	141.888	141.935	в
words@aba1986m	@aba1986m	141.935	142.217	других
words@aba1986m	@aba1986m	142.217	142.611	ваших
words@aba1986m	@aba1986m	142.611	142.843	интервью
words@aba1986m	@aba1986m	142.843	142.921	с
words@aba1986m	@aba1986m	142.921	143.236	твоими
words@aba1986m	@aba1986m	143.236	143.681	коллегами
words@aba1986m	@aba1986m	143.681	144.11	/
words@aba1986m	@aba1986m	144.11	144.213	у
words@aba1986m	@aba1986m	144.213	144.388	вас
words@aba1986m	@aba1986m	144.388	144.627	как-то
words@aba1986m	@aba1986m	144.627	144.939	очень
words@aba1986m	@aba1986m	144.939	145.152	прям
words@aba1986m	@aba1986m	145.152	145.455	так
words@aba1986m	@aba1986m	145.455	146.318	/
words@aba1986m	@aba1986m	146.318	146.386	я
words@aba1986m	@aba1986m	146.386	146.413	не
words@aba1986m	@aba1986m	146.413	146.586	знаю
words@aba1986m	@aba1986m	146.586	146.696	как
words@aba1986m	@aba1986m	146.696	146.836	правильно
words@aba1986m	@aba1986m	146.836	147.187	сказать
words@aba1986m	@aba1986m	147.187	147.79	взаимодействие
words@aba1986m	@aba1986m	147.79	147.955	такое
words@aba1986m	@aba1986m	147.955	148.236	ощущение
words@aba1986m	@aba1986m	148.236	148.446	как
words@aba1986m	@aba1986m	148.446	148.576	будто
words@aba1986m	@aba1986m	148.576	148.663	вы
words@aba1986m	@aba1986m	148.663	148.857	миллион
words@aba1986m	@aba1986m	148.857	149.011	лет
words@aba1986m	@aba1986m	149.011	149.537	знакомы
words@aba1986m	@aba1986m	149.537	149.861	/
words@aba1986m	@aba1986m	149.861	149.986	и
words@aba1986m	@aba1986m	149.986	150.593	действительно
words@aba1986m	@aba1986m	150.593	150.78	ну
words@aba1986m	@aba1986m	150.78	150.995	какое-то
words@aba1986m	@aba1986m	150.995	151.465	человеческое
words@aba1986m	@aba1986m	151.465	151.817	отношение
words@aba1986m	@aba1986m	151.817	151.96	все
words@aba1986m	@aba1986m	151.96	152.139	равно
words@aba1986m	@aba1986m	152.139	152.459	положительное
words@aba1986m	@aba1986m	152.459	152.722	друг
words@aba1986m	@aba1986m	152.722	152.87	к
words@aba1986m	@aba1986m	152.87	153.037	другу
words@aba1986m	@aba1986m	153.037	153.486	чувствуется
words@aba1986m	@aba1986m	153.486	153.672	/
words@aba1986m	@aba1986m	153.672	153.858	/
words@aba1986m	@aba1986m	154.15	154.391	это
words@aba1986m	@aba1986m	154.391	154.632	действительно
words@aba1986m	@aba1986m	154.632	154.873	так
words@aba1986m	@aba1986m	154.873	155.114	или
words@aba1986m	@aba1986m	155.114	155.355	у
words@aba1986m	@aba1986m	155.355	155.596	вас
words@aba1986m	@aba1986m	155.596	155.837	там
words@aba1986m	@aba1986m	155.837	156.078	были
words@aba1986m	@aba1986m	156.078	156.319	моменты
words@aba1986m	@aba1986m	156.319	156.56	когда
words@aba1986m	@aba1986m	156.56	156.801	там
words@aba1986m	@aba1986m	156.801	157.042	какие-нибудь
words@aba1986m	@aba1986m	157.042	157.283	истерики
words@aba1986m	@aba1986m	157.283	157.524	швыряние
words@aba1986m	@aba1986m	157.524	157.765	друг
words@aba1986m	@aba1986m	157.765	158.006	в
words@aba1986m	@aba1986m	158.006	158.247	друга
words@aba1986m	@aba1986m	158.247	158.488	посудой
words@aba1986m	@aba1986m	158.488	158.729	там
words@aba1986m	@aba1986m	158.729	158.97	я
words@aba1986m	@aba1986m	158.97	159.211	не
words@aba1986m	@aba1986m	159.211	159.452	знаю
words@aba1986m	@aba1986m	159.452	159.693	или
words@aba1986m	@aba1986m	159.693	159.934	там
words@aba1986m	@aba1986m	159.934	160.175	/
words@aba1986m	@aba1986m	160.175	160.416	что
words@aba1986m	@aba1986m	160.416	160.657	она
words@aba1986m	@aba1986m	160.657	160.898	сделала
words@aba1986m	@aba1986m	160.898	161.139	она
words@aba1986m	@aba1986m	161.139	161.38	там
words@aba1986m	@aba1986m	161.38	161.621	взяла
words@aba1986m	@aba1986m	161.621	161.862	че-нибудь
words@aba1986m	@aba1986m	161.862	162.103	не
words@aba1986m	@aba1986m	162.103	162.344	то
words@aba1986m	@aba1986m	162.344	162.585	натворила
words@aba1986m	@aba1986m	162.585	162.826	/
words@aba1986m	@aba1986m	162.826	163.1	/
words@aba1986m	@aba1986m	188.393	188.673	стекла
words@aba1986m	@aba1986m	188.673	188.953	тапки
words@aba1986m	@aba1986m	188.953	189.233	/
words@aba1986m	@aba1986m	189.233	189.516	/
words@aba1986m	@aba1986m	198.179	198.71	режиссер
words@aba1986m	@aba1986m	198.71	198.86	/
words@aba1986m	@aba1986m	198.86	199.011	/
words@aba1986m	@aba1986m	229.406	229.675	люди
words@aba1986m	@aba1986m	229.675	229.944	с
words@aba1986m	@aba1986m	229.944	230.213	которыми
words@aba1986m	@aba1986m	230.213	230.482	ты
words@aba1986m	@aba1986m	230.482	230.751	не
words@aba1986m	@aba1986m	230.751	231.02	соединишься
words@aba1986m	@aba1986m	231.02	231.289	и
words@aba1986m	@aba1986m	231.289	231.558	между
words@aba1986m	@aba1986m	231.558	231.827	собой
words@aba1986m	@aba1986m	231.827	232.096	никто
words@aba1986m	@aba1986m	232.096	232.365	не
words@aba1986m	@aba1986m	232.365	232.634	соединится
words@aba1986m	@aba1986m	239.745	239.961	да
words@aba1986m	@aba1986m	239.961	240.177	у
words@aba1986m	@aba1986m	240.177	240.393	нее
words@aba1986m	@aba1986m	240.393	240.609	были
words@aba1986m	@aba1986m	240.609	240.913	длиннее
words@aba1986m	@aba1986m	240.913	241.086	/
words@aba1986m	@aba1986m	241.086	241.26	/
words@aba1986m	@aba1986m	246.578	246.748	а
words@aba1986m	@aba1986m	246.748	246.918	у
words@aba1986m	@aba1986m	246.918	247.088	вас
words@aba1986m	@aba1986m	247.088	247.258	не
words@aba1986m	@aba1986m	247.258	247.428	было
words@aba1986m	@aba1986m	247.428	247.598	читок
words@aba1986m	@aba1986m	247.598	247.768	перед
words@aba1986m	@aba1986m	247.768	247.938	этим
words@aba1986m	@aba1986m	247.938	248.108	там
words@aba1986m	@aba1986m	248.108	248.417	ничего
words@aba1986m	@aba1986m	248.417	248.522	/ 
words@aba1986m	@aba1986m	248.522	248.627	/
words@aba1986m	@aba1986m	250.457	250.759	тизер
words@aba1986m	@aba1986m	250.759	250.854	/
words@aba1986m	@aba1986m	250.854	250.949	/
words@aba1986m	@aba1986m	297.661	297.865	ну
words@aba1986m	@aba1986m	297.865	298.069	то
words@aba1986m	@aba1986m	298.069	298.273	есть
words@aba1986m	@aba1986m	298.273	298.477	играть
words@aba1986m	@aba1986m	298.477	298.681	не
words@aba1986m	@aba1986m	298.681	298.885	пришлось
words@aba1986m	@aba1986m	298.885	299.089	по
words@aba1986m	@aba1986m	299.089	299.293	факту
words@aba1986m	@aba1986m	299.293	299.497	/
words@aba1986m	@aba1986m	299.497	299.708	/
words@aba1986m	@aba1986m	326.618	326.9	нету
words@aba1986m	@aba1986m	326.9	327.182	не
words@aba1986m	@aba1986m	327.182	327.464	было
words@aba1986m	@aba1986m	327.464	327.746	возможности
words@aba1986m	@aba1986m	327.746	328.028	#нрзб#
words@aba1986m	@aba1986m	328.028	328.31	#смеется#
words@aba1986m	@aba1986m	328.31	328.494	/
words@aba1986m	@aba1986m	328.494	328.765	/
words@aba1986m	@aba1986m	381.05	381.292	я
words@aba1986m	@aba1986m	381.292	381.534	знаю
words@aba1986m	@aba1986m	381.534	381.776	что
words@aba1986m	@aba1986m	381.776	382.018	вы
words@aba1986m	@aba1986m	382.018	382.26	их
words@aba1986m	@aba1986m	382.26	382.502	там
words@aba1986m	@aba1986m	382.502	382.744	кормили
words@aba1986m	@aba1986m	382.744	382.986	по-моему
words@aba1986m	@aba1986m	382.986	383.228	периодически
words@aba1986m	@aba1986m	383.228	383.47	#смеется#
words@aba1986m	@aba1986m	383.47	383.712	/
words@aba1986m	@aba1986m	383.712	383.955	/
words@vrsh1992f	@vrsh1992f	7.638	7.816	это
words@vrsh1992f	@vrsh1992f	7.816	8.288	город
words@vrsh1992f	@vrsh1992f	8.288	8.761	прохладный
words@vrsh1992f	@vrsh1992f	25.795	25.999	ну
words@vrsh1992f	@vrsh1992f	25.999	26.134	ты
words@vrsh1992f	@vrsh1992f	26.134	26.359	знаешь
words@vrsh1992f	@vrsh1992f	26.359	26.442	на
words@vrsh1992f	@vrsh1992f	26.442	26.667	самом
words@vrsh1992f	@vrsh1992f	26.667	26.881	деле
words@vrsh1992f	@vrsh1992f	26.881	26.97	не
words@vrsh1992f	@vrsh1992f	26.97	27.177	было
words@vrsh1992f	@vrsh1992f	27.177	27.466	такого
words@vrsh1992f	@vrsh1992f	27.466	27.756	прям
words@vrsh1992f	@vrsh1992f	27.756	28.179	какого-то
words@vrsh1992f	@vrsh1992f	28.179	28.513	/
words@vrsh1992f	@vrsh1992f	28.513	28.847	/
words@vrsh1992f	@vrsh1992f	28.847	29.475	разрывного
words@vrsh1992f	@vrsh1992f	29.475	29.894	графика
words@vrsh1992f	@vrsh1992f	29.894	30.315	во-первых
words@vrsh1992f	@vrsh1992f	30.315	30.508	/
words@vrsh1992f	@vrsh1992f	30.508	30.901	театр
words@vrsh1992f	@vrsh1992f	30.901	31.078	/
words@vrsh1992f	@vrsh1992f	31.078	31.869	ИЮЛЬАНСАМБЛЬ
words@vrsh1992f	@vrsh1992f	31.869	31.938	/
words@vrsh1992f	@vrsh1992f	31.938	32.246	спасибо
words@vrsh1992f	@vrsh1992f	32.246	32.376	им
